	Prophage	contig_length	gene_count	checkv_quality
7632	JH377566.1_PP4	5992	9	Medium-quality
7633	JH377567.1_PP5	3812	6	Medium-quality
19215	AOXE01000007.1_PP1	4854	6	Medium-quality
23785	JEZL01000061.1_PP12	4891	7	Medium-quality
23813	JEZG01000027.1_PP6	4424	6	Medium-quality
24586	JFEJ01000018.1_PP7	4424	6	Medium-quality
24957	JFXY01000032.1_PP8	4424	6	Medium-quality
25969	JHDP01000030.1_PP2	5342	5	Medium-quality
32724	AMQL01000009.1_PP5	4870	6	Medium-quality
34912	AIHF01000014.1_PP9	4608	11	Medium-quality
47323	KK081861.1_PP3	4166	6	Medium-quality
49955	JHKV01000123.1_PP12	5928	10	Medium-quality
52861	AEFA01000005.1_PP3	4854	6	Medium-quality
54783	JSEY02000107.1_PP4	4460	8	Medium-quality
59963	JH967575.1_PP3	3812	6	Medium-quality
60339	JH967060.1_PP4	5992	9	Medium-quality
60494	AHIB01000078.1_PP7	3813	7	Medium-quality
63589	JMOO01000064.1_PP10	4891	7	Medium-quality
64601	CAPN01000042.1_PP2	4841	6	Medium-quality
75415	JHFD01000013.1_PP3	5979	8	Medium-quality
80231	JNPY01000034.1_PP8	5809	8	Medium-quality
81290	JGZY01000466.1_PP12	5077	11	Medium-quality
82885	JTEU02000003.1_PP5	5175	9	Medium-quality
84867	LK996026.1_PP14	5275	7	Medium-quality
87562	GG693253.1_PP3	5225	10	High-quality
97259	KQ089818.1_PP4	4718	6	Medium-quality
99481	CQJJ01000041.1_PP8	5958	9	Medium-quality
99491	CQJE01000046.1_PP9	5578	9	Medium-quality
99500	CQMM01000040.1_PP8	5872	9	Medium-quality
99540	CQJM01000035.1_PP8	5958	9	Medium-quality
99588	CQLS01000038.1_PP9	5954	10	Medium-quality
99598	CQOQ01000051.1_PP8	5958	9	Medium-quality
100551	CQBI01000051.1_PP4	5710	8	Medium-quality
102425	CQKE01000051.1_PP9	5522	9	Medium-quality
102452	CQKP01000037.1_PP8	5872	9	Medium-quality
102469	CQLU01000046.1_PP8	5958	9	Medium-quality
102520	CQNM01000039.1_PP9	5493	7	Medium-quality
102532	CQMA01000043.1_PP10	5958	9	Medium-quality
102560	CQIQ01000041.1_PP8	5870	9	Medium-quality
102569	CQJO01000046.1_PP8	5958	9	Medium-quality
102593	CQJN01000037.1_PP7	5958	9	Medium-quality
104714	CQKR01000012.1_PP4	5679	11	Medium-quality
104729	CQJL01000039.1_PP8	5958	9	Medium-quality
104765	CQLH01000021.1_PP4	5958	9	Medium-quality
104796	CQOC01000039.1_PP7	5958	9	Medium-quality
104805	CQMZ01000044.1_PP7	5958	9	Medium-quality
104814	CQMC01000050.1_PP8	5193	10	Medium-quality
104839	CQOI01000036.1_PP7	5954	9	Medium-quality
104850	CQIP01000044.1_PP8	5580	9	Medium-quality
104855	CQKV01000012.1_PP5	5830	10	Medium-quality
106191	CQAY01000065.1_PP5	5710	8	Medium-quality
106232	CPWT01000050.1_PP4	5710	8	Medium-quality
107102	CQKW01000004.1_PP3	5958	9	Medium-quality
107114	CQNY01000025.1_PP7	5522	9	Medium-quality
107137	CQHX01000051.1_PP12	5616	7	Medium-quality
107149	CQMK01000039.1_PP11	5958	9	Medium-quality
107168	CQMN01000040.1_PP9	5954	9	Medium-quality
107215	CQLR01000036.1_PP10	5958	9	Medium-quality
107223	CQMP01000039.1_PP8	5958	9	Medium-quality
107247	CQND01000051.1_PP11	5565	9	Medium-quality
108553	CPYZ01000065.1_PP5	5710	8	Medium-quality
109505	CQMO01000046.1_PP7	5958	9	Medium-quality
109524	CQOR01000047.1_PP8	5958	9	Medium-quality
109543	CQJX01000040.1_PP9	5958	9	Medium-quality
109563	CQOZ01000049.1_PP9	4876	8	Medium-quality
109580	CQKT01000040.1_PP8	5983	9	Medium-quality
109591	CQJB01000038.1_PP9	4588	7	Medium-quality
109604	CQOU01000049.1_PP11	5522	9	Medium-quality
109628	CQOJ01000050.1_PP9	5565	9	Medium-quality
111766	CPYE01000063.1_PP3	4823	7	Medium-quality
111849	CQIV01000038.1_PP9	4688	7	Medium-quality
111853	CQNT01000023.1_PP3	5958	9	Medium-quality
111868	CQLA01000055.1_PP9	4876	8	Medium-quality
111877	CQIC01000050.1_PP9	5522	9	Medium-quality
111907	CQON01000036.1_PP9	4588	7	Medium-quality
111914	CQNL01000022.1_PP5	5958	9	Medium-quality
111938	CQKF01000052.1_PP10	4324	6	Medium-quality
111947	CQJW01000050.1_PP8	5967	10	Medium-quality
111985	CQLJ01000028.1_PP8	5940	9	Medium-quality
111995	CQHZ01000040.1_PP9	5926	9	Medium-quality
112002	CQLZ01000039.1_PP7	5958	9	Medium-quality
112012	CQJP01000053.1_PP9	5508	9	Medium-quality
112022	CQIJ01000050.1_PP9	5834	10	Medium-quality
112037	CQMV01000038.1_PP7	5958	9	Medium-quality
112057	CQMG01000049.1_PP10	4310	6	Medium-quality
112071	CQJT01000039.1_PP7	5958	9	Medium-quality
114166	CQIL01000043.1_PP7	5872	9	Medium-quality
114193	CQOX01000046.1_PP7	5954	9	Medium-quality
114201	CQKX01000042.1_PP8	5954	9	Medium-quality
114209	CQNJ01000051.1_PP7	5958	9	Medium-quality
114226	CQLT01000019.1_PP6	5958	9	Medium-quality
114232	CQMF01000002.1_PP2	5958	9	Medium-quality
114267	CQHL01000034.1_PP8	5940	9	Medium-quality
114279	CQMX01000042.1_PP9	5926	9	Medium-quality
114298	CQOD01000034.1_PP9	5984	9	Medium-quality
114307	CQIA01000041.1_PP8	5926	9	Medium-quality
116539	CQOV01000040.1_PP10	5968	10	Medium-quality
116579	CQNA01000051.1_PP9	5819	9	Medium-quality
116637	CQMD01000051.1_PP10	5858	9	Medium-quality
116656	CQKG01000056.1_PP10	4310	6	Medium-quality
116691	CQHY01000052.1_PP10	5834	9	Medium-quality
116715	CQMS01000039.1_PP8	5972	9	Medium-quality
116745	CQMI01000034.1_PP7	5958	9	Medium-quality
116755	CQNX01000035.1_PP7	5958	9	Medium-quality
118925	CQIG01000054.1_PP11	4876	8	Medium-quality
118935	CQMW01000051.1_PP10	5514	9	Medium-quality
118976	CQOH01000037.1_PP10	5954	9	Medium-quality
118984	CQMT01000037.1_PP8	5958	9	Medium-quality
119003	CQOE01000026.1_PP7	5834	9	Medium-quality
119044	CQIN01000004.1_PP2	5958	9	Medium-quality
119055	CQKB01000021.1_PP5	5940	9	Medium-quality
119068	CQNI01000050.1_PP9	5522	9	Medium-quality
119119	CQIK01000047.1_PP10	5522	9	Medium-quality
119145	CQKS01000049.1_PP10	5446	7	Medium-quality
119160	CQOP01000043.1_PP8	5958	9	Medium-quality
121201	CQHM01000052.1_PP9	5508	9	Medium-quality
121219	CQOT01000049.1_PP9	5958	9	Medium-quality
131751	CTEZ01000039.1_PP2	5703	7	Medium-quality
145253	CYEL01000022.1_PP6	5218	8	Medium-quality
145968	CYAZ01000050.1_PP9	5499	7	Medium-quality
148574	BCAI01000029.1_PP3	4841	6	Medium-quality
150717	CHZW01000037.1_PP10	5972	9	Medium-quality
150720	CHZN01000002.1_PP1	5958	9	Medium-quality
150756	CHZL01000053.1_PP9	4324	6	Medium-quality
150766	CFSK01000050.1_PP10	5958	9	Medium-quality
150776	CHJZ01000055.1_PP9	4876	8	Medium-quality
159699	CHDW01000040.1_PP10	5897	9	Medium-quality
159766	CGCV01000049.1_PP10	5975	8	Medium-quality
