accession	ambiguous_bases	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation	gtdb_type_designation_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
RS_GCF_000003135.1	0	100	0	476	f__Bifidobacteriaceae (UID1462)	217	0	2074412	86.5651598947	140	1429708	60.2525730575	2396359	RS_GCF_000196555.1	f	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	not type material	none	f	5	3	325479	630786	5377	2	3047	NZ_GG666857.1	none	0	none	none	3047	5627	0	100	FNRW01000001.375682.378735	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum subsp. longum	16948	21020	f	f	t	137057	323391	Scaffold	ASM313v1	n/a	PRJNA224116	SAMN00001475	140	137057	none	2009-05-05	GCA_000003135.1	none	full	none	biological product [ENVO:02000043]	none	1	0	Bifidobacterium longum subsp. longum ATCC 55813	2064	na	5	114	3	323391	206535	142578	2009/05/05	26	216816	1	ATCC 55813	Baylor College of Medicine	548480	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	d__Bacteria;x__Terrabacteria group;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum;sb__Bifidobacterium longum subsp. longum;x__Bifidobacterium longum subsp. longum ATCC 55813	23501	2396359	11	56	none	2372858	0	ACHI00000000.1	2001	114	5377	1	1522	2811	0	100	325855	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum	1522	NZ_GG666857.1	1522	2811	0	100	AP014658.1453189.1454717	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum subsp. longum	23501	20	56	0
RS_GCF_000003645.1	20	99.07	0.02	1171	g__Bacillus (UID902)	324	0	4406087	83.6113269668	241	1853735	35.3388217374	5269725	RS_GCF_001883995.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A paranthracis	not type material	none	f	28	1	182414	5269725	5269725	6	2244	NZ_CM000714.1-#4	5269725	3	115	NZ_CM000714.1	2242	4141	0	100	MLKH01000049.1533.4462	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus	21766	5269725	f	f	t	53899	5269725	Chromosome	ASM364v1	n/a	PRJNA224116	SAMN00717290	241	53899	none	2009-5-29	GCA_000003645.1	none	full	none	none	none	1	2	Bacillus cereus m1293	5604	na	3	none	none	none	none	none	2009/05/29	241	1396	0	m1293	Naval Medical Research Center	526973	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus cereus;x__Bacillus cereus m1293	24100	5269725	11	72	none	5245625	0	ACLS00000000.1	5337	1	5269725	4	73	60.2	2.26e-07	82.192	151023	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__humi	1084	NZ_CM000714.1-#4	572	1026	0	99.126	JRUS01000065.796.2379	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae (baker's yeast)	24100	20	72	0
RS_GCF_000003925.1	30	99.32	0.02	1082	g__Bacillus (UID901)	303	0	4540498	81.6356479236	200	1951180	35.2079331981	5561906	RS_GCF_000832605.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	type strain of species	LPSN; DSMZ; StrainInfo	f	22	1	231697	5561906	5561906	2	2917	NZ_CM000742.1	5561906	5	109	NZ_CM000742.1-#3	2917	5387	0	100	ACMU01000012.59.2978	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus mycoides DSM 2048	27709	5561906	t	f	f	84268	5561906	Chromosome	ASM392v1	n/a	PRJNA224116	SAMN00727646	200	84268	none	2009-5-29	GCA_000003925.1	none	full	none	none	none	1	2	Bacillus mycoides DSM 2048	5901	na	6	none	none	none	none	none	2009/05/29	200	1405	1	DSM 2048	Naval Medical Research Center	526997	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus mycoides	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus mycoides;x__Bacillus mycoides DSM 2048	20000	5561906	11	83	assembly from type material	5541906	0	ACMU00000000.1	5625	1	5561906	1	1549	2800	0	99.29	4308624	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__cereus	1549	NZ_CM000742.1	1545	2854	0	100	CP000903.299789.301333	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus weihenstephanensis KBAB4	20000	20	83	0
RS_GCF_000003955.1	92	97.17	0.76	1082	g__Bacillus (UID901)	303	0	4664382	80.5523045415	412	2025773	35.2356819869	5790501	RS_GCF_001884135.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A nitratireducens	not type material	none	f	61	1	101392	5790501	5790501	1	2917	NZ_CM000741.1	5790501	5	108	NZ_CM000741.1-#4	2917	5387	0	100	ACMS01000329.9.2928	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus AH1272	13954	5790501	t	f	f	26721	5790501	Chromosome	ASM395v1	n/a	PRJNA224116	SAMN00727677	412	26721	none	2009-5-29	GCA_000003955.1	none	full	none	none	none	1	2	Bacillus cereus AH1273	6249	na	7	none	none	none	none	none	2009/05/29	412	1396	1	AH1273	Naval Medical Research Center	526994	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus cereus;x__Bacillus cereus AH1273	41200	5790501	11	94	none	5749301	0	ACMT00000000.1	5860	1	5790501	1	1457	2680	0	99.863	4308624	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__cereus	1457	NZ_CM000741.1	1457	2691	0	100	CP006863.2068708.2070251	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus toyonensis BCT-7112	41200	20	94	0
RS_GCF_000005825.2	0	98.68	1.32	273	c__Bacilli (UID257)	151	0	3613115	85.0295158108	3	1693774	39.8605588565	4249248	RS_GCF_000005825.2	t	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_D;g__Bacillus_S;s__Bacillus_S pseudofirmus	not type material	none	f	1	1	3858997	3858997	3858997	7	2936	NC_013791.2-#5	3858997	8	110	NC_013791.2-#3	2936	5422	0	100	CP001878.36738.39679	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus pseudofirmus OF4	1416416	1416416	t	f	f	3858997	3858997	Complete Genome	ASM582v2	n/a	PRJNA224116	SAMN02603086	none	none	none	2010-12-15	GCA_000005825.2	none	full	none	none	none	3	2	Bacillus pseudofirmus OF4	4161	representative genome	22	none	none	none	none	none	2010/12/15	0	79885	7	OF4	Center for Genomic Sciences, Allegheny-Singer Research Institute	398511	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pseudofirmus	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pseudofirmus;x__Bacillus pseudofirmus OF4	0	4249248	11	77	none	4249248	0	none	4260	3	3858997	7	1549	2861	0	100	2201412	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__;s__	1549	NC_013791.2-#3	1549	2861	0	100	CP001878.164650.166210	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus pseudofirmus OF4	0	20	77	0
GB_GCA_000006155.2	1916	93.12	0	1171	g__Bacillus (UID902)	324	0	4305660	80.1789924135	426	1869446	35.1014036461	5370060	RS_GCF_000534935.2	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A anthracis	not type material	none	f	63	1	181677	5093554	none	0	none	none	none	0	none	none	none	none	none	none	none	none	12506	1790020	f	f	t	25045	5093554	Chromosome	ASM615v2	n/a	PRJNA299	SAMN02435829	426	25045	none	2002-05-09	GCA_000006155.2	none	full	none	none	none	3	2	Bacillus anthracis str. A2012	297	na	0	none	none	none	none	none	2002/05/09	423	1392	0	A2012	J. Craig Venter Institute	191218	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus anthracis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus anthracis;x__Bacillus anthracis str. A2012	42300	5370060	11	0	none	5327760	0	AAAC00000000.1	5745	3	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	42300	16	31	0
RS_GCF_000006605.1	0	100	0.68	399	o__Actinomycetales (UID1809)	221	0	2210172	89.2341880038	2	1519564	61.3513607357	2476822	RS_GCF_000163435.1	f	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium jeikeium	not type material	none	f	1	1	2462499	2462499	2462499	3	3054	NC_007164.1-#3	2462499	3	103	NC_007164.1-#3	3054	5640	0	100	CR931997.474703.477775	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium jeikeium K411	1238411	1238411	t	f	f	2462499	2462499	Complete Genome	ASM660v1	n/a	PRJNA224116	SAMEA3283089	none	none	none	2005-6-27	GCA_000006605.1	none	full	none	none	none	2	0	Corynebacterium jeikeium K411	2133	representative genome	9	none	none	none	none	none	2005/06/27	0	38289	3	NCTC 11915;K411	Bielefeld Univ	306537	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium jeikeium	d__Bacteria;x__Terrabacteria group;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium jeikeium;x__Corynebacterium jeikeium K411	0	2476822	11	50	none	2476822	0	none	2137	2	2462499	3	1525	2817	0	100	607054	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__	1525	NC_007164.1-#3	1525	2817	0	100	CR931997.1024980.1026506	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium 1;Corynebacterium jeikeium K411	0	20	50	0
RS_GCF_000006625.1	0	99.05	0	295	f__Mycoplasmataceae (UID2466)	140	0	686114	91.2726697077	1	191686	25.4996880483	751719	RS_GCF_000019345.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__Ureaplasma parvum	not type material	none	f	1	1	751719	751719	751719	2	2902	NC_002162.1-#2	none	0	none	none	2902	5360	0	100	AP014584.577775.580683	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;Ureaplasma parvum serovar 3	751719	751719	f	f	t	751719	751719	Complete Genome	ASM662v1	n/a	PRJNA224116	SAMN02604098	none	none	none	2003-7-17	GCA_000006625.1	none	full	none	none	none	1	0	Ureaplasma parvum serovar 3 str. ATCC 700970	608	na	6	none	none	none	none	none	2003/07/17	0	134821	2	ATCC 700970	Univ.AL-Birmingham	273119	d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma;s__Ureaplasma parvum	d__Bacteria;x__Terrabacteria group;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma;s__Ureaplasma parvum;x__Ureaplasma parvum serovar 3;x__Ureaplasma parvum serovar 3 str. ATCC 700970	0	751719	4	30	none	751719	0	none	620	1	751719	2	1512	2706	0	99.008	258477	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma;s__	1512	NC_002162.1-#2	1512	2793	0	100	CP000942.343952.345482	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;Ureaplasma parvum serovar 3 str. ATCC 27815	0	20	30	1
RS_GCF_000006665.1	2640	99.97	0.33	1172	f__Enterobacteriaceae (UID5124)	336	0	4890968	87.0198177322	3	2829256	50.397505754	5620522	RS_GCF_002949675.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia dysenteriae	not type material	none	f	1	1	3798696	5528445	5528445	7	2904	NC_002655.2-#4	5528445	7	355	NC_002655.2-#4	2904	5308	0	100	AE005174.3516316.3519223	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli O157:H7 str. EDL933	1872173	2810261	t	f	f	3798696	5528445	Chromosome	ASM666v1	n/a	PRJNA224116	SAMN02604092	3	3798696	none	2004-12-06	GCA_000006665.1	none	full	none	none	none	2	4	Escherichia coli O157:H7 str. EDL933	5900	na	22	none	none	none	none	none	2004/12/06	1	562	7	EDL933	Univ. Wisconsin	155864	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;x__Escherichia coli O157:H7;x__Escherichia coli O157:H7 str. EDL933	4001	5620522	11	100	none	5616521	0	none	5421	2	5528445	7	1544	2793	0	99.352	2235399	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__coli	1542	NC_002655.2-#4	1542	2837	0	100	AE005174.3519578.3521124	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli O157:H7 str. EDL933	4001	20	99	1
RS_GCF_000006685.1	19	99.19	0	455	o__Chlamydiales (UID2994)	185	0	975319	90.2696188906	2	435470	40.3051742266	1080451	RS_GCF_000006685.1	t	d__Bacteria;p__Verrucomicrobiota_A;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia muridarum	type strain of species	LPSN; DSMZ; StrainInfo	f	1	1	1072950	1072950	1072950	2	2932	NC_002620.2	1072950	2	109	NC_002620.2	2932	5415	0	100	CP009608.135629.138575	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia;Chlamydia muridarum	540225	540225	t	f	f	1072950	1072950	Complete Genome	ASM668v1	n/a	PRJNA224116	SAMN02603994	none	none	none	2003-3-26	GCA_000006685.1	none	full	none	none	none	2	0	Chlamydia muridarum str. Nigg	914	representative genome	6	none	none	none	none	none	2003/03/26	0	83560	2	Nigg	TIGR	243161	d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia muridarum	d__Bacteria;x__PVC group;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;x__Chlamydia/Chlamydophila group;g__Chlamydia;s__Chlamydia muridarum;x__Chlamydia muridarum str. Nigg	0	1080451	11	37	assembly from type material	1080451	0	none	903	2	1072950	2	1548	2859	0	100	3042	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__	1550	NC_002620.2	1550	2863	0	100	CP009760.133835.135388	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia;Chlamydia muridarum	0	20	37	0
